City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,7.59,45,17,0.45,US,1707416815
1,pindobacu,-10.7417,-40.3608,33.07,35,97,1.05,BR,1707416834
2,adam,22.3756,57.5233,19.86,33,92,4.66,OM,1707416834
3,arish,31.1316,33.7984,17.06,69,56,2.51,EG,1707416835
4,adamstown,-25.066,-130.1015,23.83,91,100,12.47,PN,1707416633
5,troitsko-pechorsk,62.7084,56.1964,-6.28,89,99,4.02,RU,1707416835
6,kingston,17.997,-76.7936,26.57,62,20,3.6,JM,1707416744
7,vorgashor,67.5833,63.95,-9.17,83,100,6.24,RU,1707416634
8,whitehorse,60.7161,-135.0538,-21.47,79,75,0.45,CA,1707416578
9,margaret river,-33.95,115.0667,20.96,46,0,4.56,AU,1707416835
10,leh,34.1667,77.5833,-21.73,41,1,2.03,IN,1707416821
11,cannonvale,-20.2833,148.7,27.66,79,56,5.78,AU,1707416836
12,polyarnyy,69.1989,33.4478,-23.94,100,88,3.02,RU,1707416836
13,port mathurin,-19.6833,63.4167,27.08,76,93,10.44,MU,1707416836
14,brokopondo,4.75,-55.1667,31.73,51,86,0.27,SR,1707416836
15,yellowknife,62.456,-114.3525,-15.14,89,100,3.6,CA,1707416836
16,hermanus,-34.4187,19.2345,19.89,73,81,4.26,ZA,1707416658
17,college,64.8569,-147.8028,-24.05,72,40,0.0,US,1707416668
18,taroa,8.7058,171.2275,27.62,76,100,11.07,MH,1707416837
19,zhalantun,48.0,122.7167,-16.23,89,91,2.88,CN,1707416837
20,viedma,-40.8135,-62.9967,28.04,39,76,7.88,AR,1707416837
21,zabid,14.1951,43.3152,27.28,58,34,3.58,YE,1707416837
22,puerto ayora,-0.7393,-90.3518,28.64,88,87,2.68,EC,1707416838
23,juegang,32.3174,121.1855,1.5,76,100,2.84,CN,1707416838
24,grytviken,-54.2811,-36.5092,6.08,92,96,8.17,GS,1707416838
25,tobruk,32.0836,23.9764,16.87,53,0,3.41,LY,1707416838
26,port elizabeth,-33.918,25.5701,19.67,86,0,3.09,ZA,1707416666
27,edinburgh of the seven seas,-37.0676,-12.3116,18.62,75,94,5.54,SH,1707416640
28,matoury,4.8483,-52.3317,28.98,74,75,7.72,GF,1707416838
29,callao,-12.0667,-77.15,28.16,65,20,6.17,PE,1707416839
30,waitangi,-43.9535,-176.5597,15.46,74,21,1.79,NZ,1707416636
31,talnakh,69.4865,88.3972,-27.22,85,16,1.94,RU,1707416668
32,vadso,70.0744,29.7487,-14.91,85,75,6.69,NO,1707416685
33,blackmans bay,-43.0167,147.3167,11.52,85,65,0.45,AU,1707416635
34,tralee,52.2704,-9.7026,11.14,87,40,4.12,IE,1707416639
35,alexandria,31.2156,29.9553,16.42,62,77,2.15,EG,1707416610
36,at taraf,25.3628,49.725,15.3,56,0,2.61,SA,1707416839
37,ferkessedougou,9.6,-5.2,34.46,9,5,3.05,CI,1707416839
38,ushuaia,-54.8,-68.3,10.81,58,75,2.06,AR,1707416589
39,hamilton,39.1834,-84.5333,14.99,42,75,5.66,US,1707416463
40,mount pearl,47.5166,-52.7813,-0.52,87,100,7.72,CA,1707416680
41,thompson,55.7435,-97.8558,-16.91,85,100,5.66,CA,1707416644
42,avarua,-21.2078,-159.775,27.03,78,40,6.17,CK,1707416674
43,longyearbyen,78.2186,15.6401,-10.09,73,20,3.6,SJ,1707416641
44,gadzhiyevo,69.2551,33.3362,-25.02,100,92,2.85,RU,1707416840
45,pimentel,-6.8367,-79.9342,31.16,58,75,5.66,PE,1707416840
46,alofi,-19.0595,-169.9187,24.94,100,45,0.51,NU,1707416656
47,west island,-12.1568,96.8225,27.99,83,100,2.57,CC,1707416671
48,geraldton,-28.7667,114.6,25.23,23,3,1.03,AU,1707416666
49,hailey,43.5196,-114.3153,-2.79,72,0,0.0,US,1707416841
50,bredasdorp,-34.5322,20.0403,19.82,64,88,5.25,ZA,1707416640
51,ribeira grande,38.5167,-28.7,17.22,77,40,13.89,PT,1707416639
52,bilibino,68.0546,166.4372,-33.6,100,98,0.63,RU,1707416841
53,punta arenas,-53.15,-70.9167,14.06,51,75,12.35,CL,1707416373
54,adani,6.7397,7.0112,32.48,16,50,2.25,NG,1707416841
55,port-aux-francais,-49.35,70.2167,4.68,68,45,5.38,TF,1707416842
56,papatowai,-46.5619,169.4708,7.64,83,41,1.7,NZ,1707416631
57,santa terezinha,-29.9002,-50.0904,27.04,79,83,5.27,BR,1707416842
58,hithadhoo,-0.6,73.0833,28.18,75,100,4.32,MV,1707416675
59,darhan,49.4867,105.9228,-24.84,96,6,2.26,MN,1707416842
60,san patricio,28.017,-97.5169,23.62,65,100,4.13,US,1707416842
61,udachny,66.4167,112.4,-32.53,67,96,1.51,RU,1707416636
62,howrah,22.5892,88.3103,17.0,77,20,1.54,IN,1707416677
63,egilsstadir,65.2653,-14.3948,-12.05,79,0,3.09,IS,1707416842
64,puerto natales,-51.7236,-72.4875,18.25,39,75,14.92,CL,1707416632
65,rawson,-43.3002,-65.1023,21.88,33,56,3.47,AR,1707416843
66,tazacorte,28.629,-17.9293,23.42,17,0,9.26,ES,1707416707
67,kirensk,57.7853,108.1119,-12.57,98,100,0.22,RU,1707416843
68,chadan,51.2833,91.5833,-18.07,98,100,0.44,RU,1707416843
69,jamestown,42.097,-79.2353,9.7,40,0,4.12,US,1707416637
70,gore,-46.1028,168.9436,4.53,97,3,0.7,NZ,1707416843
71,enewetak,11.3474,162.3373,26.59,74,58,8.0,MH,1707416669
72,georgetown,5.4112,100.3354,28.03,87,20,1.03,MY,1707416641
73,tazovsky,67.4667,78.7,-14.34,95,98,5.91,RU,1707416665
74,moyale,3.5167,39.0584,25.96,45,93,2.35,KE,1707416844
75,wailua homesteads,22.0669,-159.378,21.61,79,75,6.17,US,1707416643
76,carloforte,39.145,8.3058,14.97,88,33,5.03,IT,1707416844
77,colonel hill,22.7667,-74.2167,22.53,67,21,9.35,BS,1707416844
78,paradip garh,20.3167,86.6167,21.61,63,6,1.61,IN,1707416844
79,wloszczowa,50.8526,19.9659,0.84,98,100,2.92,PL,1707416844
80,kone,-21.0595,164.8658,22.91,88,100,1.72,NC,1707416672
81,san antonio de pale,-1.4014,5.6325,28.39,75,78,3.71,GQ,1707416691
82,el calafate,-50.3408,-72.2768,13.52,56,89,4.71,AR,1707416715
83,ilulissat,69.2167,-51.1,-12.99,72,75,5.14,GL,1707416641
84,huangpi,30.8845,114.3779,0.06,93,86,1.0,CN,1707416845
85,cuajinicuilapa,16.4667,-98.4167,32.47,43,19,2.23,MX,1707416845
86,auki,-8.7676,160.7034,26.05,86,100,5.6,SB,1707416845
87,ribeira brava,32.65,-17.0667,21.53,95,100,7.91,PT,1707416688
88,yeppoon,-23.1333,150.7333,23.88,81,27,6.68,AU,1707416846
89,palikir - national government center,6.9248,158.1611,26.41,83,100,2.06,FM,1707416715
90,tiksi,71.6872,128.8694,-22.1,100,100,1.62,RU,1707416632
91,tolanaro,-25.0319,46.9987,24.99,86,14,5.94,MG,1707416722
92,invercargill,-46.4,168.35,5.57,94,16,0.89,NZ,1707416607
93,san angelo,31.4638,-100.437,16.52,38,0,5.66,US,1707416846
94,vilyuchinsk,52.9306,158.4028,-10.04,85,100,2.68,RU,1707416649
95,touros,-5.1989,-35.4608,29.99,66,16,5.87,BR,1707416689
96,yuma,32.7253,-114.6244,12.96,61,100,2.57,US,1707416251
97,guelendeng,10.9176,15.5501,26.36,15,8,3.51,TD,1707416847
98,bataipora,-22.2953,-53.2711,28.9,56,100,2.57,BR,1707416847
99,puerto aysen,-45.4,-72.7,18.0,65,99,2.09,CL,1707416847
100,petropavlovsk-kamchatsky,53.0452,158.6483,-10.86,90,75,4.0,RU,1707416637
101,dakhla,23.6848,-15.958,23.01,56,29,4.63,EH,1707416847
102,keflavik,64.0049,-22.5624,-6.76,68,0,4.63,IS,1707416678
103,hiratacho,35.4333,132.8167,2.98,87,75,3.09,JP,1707416847
104,cotonou,6.3654,2.4183,28.99,70,44,3.6,BJ,1707416848
105,stanley,54.868,-1.6985,0.9,95,75,7.72,GB,1707416662
